year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
2009,FALSE,FALSE,FALSE,59467,https://www.iucnredlist.org/species/59467/11928351,Salamandra salamandra,LC,11928351,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,salamandra,Europe; Global,N,Y,
2004,FALSE,FALSE,FALSE,59467,https://www.iucnredlist.org/species/59467/11928700,Salamandra salamandra,LC,11928700,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,salamandra,Europe; Global,N,Y,
2022,TRUE,FALSE,FALSE,136135,https://www.iucnredlist.org/species/136135/89706481,Salamandrina perspicillata,EN,89706481,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,perspicillata,Europe; Global,N,Y,
2009,FALSE,FALSE,FALSE,136135,https://www.iucnredlist.org/species/136135/4248006,Salamandrina perspicillata,LC,4248006,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,perspicillata,Europe; Global,N,Y,
2008,FALSE,FALSE,FALSE,136135,https://www.iucnredlist.org/species/136135/4248166,Salamandrina perspicillata,LC,4248166,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,perspicillata,Europe; Global,N,Y,
2024,TRUE,FALSE,FALSE,59468,https://www.iucnredlist.org/species/59468/227235526,Salamandrina terdigitata,LC,227235526,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Europe; Global; Mediterranean,N,Y,
2022,FALSE,FALSE,FALSE,59468,https://www.iucnredlist.org/species/59468/267267718,Salamandrina terdigitata,LC,267267718,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Europe; Global; Mediterranean,N,Y,An errata assessment was created in order to add the 'Mediterranean' scope to the assessment of this species that is endemic to the IUCN Mediterranean Red List assessment area.
2022,FALSE,FALSE,FALSE,59468,https://www.iucnredlist.org/species/59468/89706354,Salamandrina terdigitata,LC,89706354,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Europe; Global,N,N,
2009,FALSE,FALSE,FALSE,59468,https://www.iucnredlist.org/species/59468/11945789,Salamandrina terdigitata,LC,11945789,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Europe; Global,N,Y,
2008,FALSE,FALSE,FALSE,59468,https://www.iucnredlist.org/species/59468/11945926,Salamandrina terdigitata,LC,11945926,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandrina,terdigitata,Europe; Global,N,N,The assessments 11945926 and 11945789 are duplicate but IUCN has not marked them as such. 
